ref_id,category,structure,description,verification_target,refs_version,static_evidence_level,static_analysis_notes,raw_analysis_notes
GN_ARCH_001,General,Architecture,ReFS uses Minstore B+ tree storage engine,No,General,E2,PDB symbols show CmsBPlusTable (186 funcs Win10 / 160 Win11); all metadata stored as key-value pairs in B+-trees,All 39 images show MSB+ signature on every metadata page; B+-tree walking confirmed across all table types
GN_ARCH_002,General,Architecture,Copy-on-Write / Allocate-on-Write update policy,No,General,E2,CoW propagation visible in MsUpdateDataWithRoot and CmsCowRootComposite class; old pages never overwritten; checkpoint = atomic commit point,Virtual clock increments at each checkpoint confirm CoW model; old pages visible in log data area scans
GN_ARCH_003,General,Architecture,Virtual addressing with Container Table translation (v2+),Yes,3.4,E2,CmsVolumeContainer class (72 funcs Win10 / 130 Win11) manages container-level operations; translation formula confirmed in CmsStream extent resolution,"Translation formula verified: PLCN = map[VLCN >> shift] + (VLCN & mask). Tested on 39 images, all configurations"
GN_ARCH_004,General,Architecture,"Metadata checksums: None (3.4), CRC64 (3.14 default), SHA256 (optional). User data checksums: opt-in via integrity streams",No,General,E2,Win10: 56 CRC template specializations (CmsCrc32/CmsCrc64) + CmsChecksumNone(8) — but CmsChecksumNone::VerifyChecksum always returns TRUE (no actual verification). Win11: unified CmsChecksum(11) delegates to SymCrypt. CmsIntegrityState (17/66 funcs). Literature claim 'always on metadata' CORRECTED: no metadata checksums on 3.4. Merged from GN_CHKS_SA_001 and GN_MISC_008,"VBR 0x2A selector: 0=None(3.4), 2=CRC64(3.14), 4=SHA256. Win10 CONFIRMED no metadata checksums (fsutil: CHECKSUM_TYPE_NONE, CHKP bit 0x400 not set). Upgraded 3.4→3.14 gains CRC64 at CHKP level despite VBR 0x2A remaining 0x00. See report_checksum_investigation.md"
GN_ARCH_005,General,Architecture,Pages (1-4 clusters) with header: signature+clock+address,No,3.4,E1 (all),All five page signatures (FSRS/SUPB/CHKP/MSB+/MLog) confirmed as ASCII string literals in both binaries,"All 5 signatures observed in raw disk data: FSRS(VBR), SUPB(superblock), CHKP(checkpoint), MSB+(B+tree), MLog(log)"
GN_PAGE_004,General,Page Header,0x10-0x18: virtual allocator clock,No,3.4,N/A,Raw disk analysis: allocator clock values range 23-7295 across images; confirmed present on all page headers,"Virtual clock read from CHKP offset 0x10; values match between checkpoint and page headers | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was CONFIRMED): Offset/presence confirmed. The 'allocator virtual clock' SEMANTIC (vs tree-update clock at 0x18) is E2/CHKP-correlated; the two 8-byte counters at 0x10 and 0x18 both exist on disk but distinguishing which is allocator vs tree cloc"
GN_IDXR_001,General,Index Root,Root 0x00-0x04: size of index root,No,3.4,E2,E2 2026-06-19: _SmsIndexRoot descriptor at page+0x50; size 0x28 at desc+0x04 (CreateIndex win10 @73080).,RD all-disk: desc+0x04=0x28 on all table-root pages (113 images). The descriptor is the structure Prade calls Index Root. See structure_reference A.2b.
GN_IDXR_002,General,Index Root,Root 0x0C-0x0E: schema of table,No,3.4,E2,E2 2026-06-19: _SmsIndexRoot+0x0C = table SCHEMA id (CreateIndex win10 @73106 from RegisterSchema @17820; validated @73234; MsGetTableInfoFromTable win11 @196519).,"CONFIRMED ALL-DISK 2026-06-19: desc+0x0C (page+0x50+0x0C) is a valid schema id (0xe0c0 CT, 0xe030 OT, 0x130 dir, ...) on 34,203/34,207 tables. PRADE CORRECT. The audit-2 INFERRED 'not a schema' read the per-node header thoff+0x0C (node-type) - the wrong structure. See structure_reference A.2b. Was INFERRED."
GN_IDXR_003,General,Index Root,Root 0x18-0x20: number of extents,No,3.4,E2,E2 2026-06-19: _SmsIndexRoot+0x18 (u64) = table EXTENT/leaf-page count (CreateIndex win10 @73244 -> this+0x40; write-back CopyStateToTreeUpdateGen @82621; MsGetTableRowAndPageCount win11 @196550).,"CONFIRMED ALL-DISK 2026-06-19: desc+0x18 = number of leaf extents/pages (0 single-page; == leaf-page census on every clean multi-level table: oid7=10, oid73f=3, oid760=1). PRADE 'number of extents' CORRECT. See structure_reference A.2b. (Was NEEDS-STATIC in re-verify.)"
GN_IDXR_004,General,Index Root,Root 0x20-0x28: number of rows,No,3.4,E2,"E2 2026-06-19: _SmsIndexRoot+0x20 (u64) = TOTAL row count of the whole table, incremented per row insert (EnqueueTreeUpdate this+0x38; CreateIndex win10 @73243; write-back @82620).","CORRECTED 2026-06-19 (FRAME ERROR REVERSED, was CONTRADICTED): Prade's '0x20-0x28 = number of rows' is CORRECT - it is the _SmsIndexRoot descriptor (page+0x50) +0x20 = whole-table row count. RD: desc+0x20 == independent leaf-walk total on 34,177/34,207 tables, diverging from the per-node _SmsIndexHeader+0x14 on multi-level trees (387 vs 10 children; 245,759 vs 2). The 2026-06-18 'CONTRADICTED / count at thoff+0x14' analysed the per-node NODE header (wrong frame). See errata E49, structure_reference A.2b."
