# Central provenance / audit register — one row per docs page.
# Holds the provenance that used to live in each page's footer (verification status +
# evidence grades + finding IDs) plus its last-audited date. Page footers were removed
# 2026-07-08; update a page's row here when it is re-audited.
# Columns: page<TAB>status<TAB>evidence<TAB>findings<TAB>last_audited<TAB>note
page	status	evidence	findings	last_audited	note
CONTRIBUTING.md	Conventions doc	—	—	2026-06-15	
README.md	Index	—	—	2026-06-20	
attributes/DATA.md	CONFIRMED	E2/RD	MD_DATA_RA_008, MD_DATA_RA_009, MD_DATA_RA_010, MD_ATTR_RA_009, MD_SI_RA_016, MD_SI_RA_002	2026-06-22	
attributes/EA_INFORMATION.md	CONFIRMED	E2/RD	FS_REPS_RA_003, FS_REPS_RA_002, MD_ATTR_RA_010, MD_ATTR_RA_011, MD_ATTR_RA_012	2026-06-22	
attributes/EFS.md	CONFIRMED	E1/E2/RD	MD_ATTR_RA_009, MD_EFS_RA_005	2026-06-22	
attributes/I30_INDEX.md	CORRECTED	E1/RD	MD_ATTR_RA_017, MD_ATTR_010, MD_ATTR_RA_015, FS_SNAP_RA_001	2026-06-22	
attributes/NAMED_DATA.md	CONFIRMED	E2/RD	MD_SNAP_RA_005, FS_SNAP_RA_001	2026-07-05	
attributes/OBJ_LINK.md	CONFIRMED	E2/RD	FN_PATH_001, MD_ATTR_003, MD_ATTR_RA_006, MD_LK_RA_005, MD_LK_RA_006, MD_LK_RA_007, MD_LK_RA_008, MD_LK_RA_009	2026-06-22	
attributes/README.md	CONFIRMED	E2/RD	MD_ATTR_RA_015, FS_SNAP_RA_001, FS_OTBL_RA_008, MD_SI_RA_013, MD_TS_RA_005, MD_UNSUP_RA_001, FS_REPS_RA_003, FS_REPS_RA_002, MD_ATTR_RA_010, MD_ATTR_RA_012	2026-06-22	
attributes/REPARSE.md	CONFIRMED	E2/RD	FS_REPS_RA_001, FS_OTBL_RA_005	2026-06-22	
attributes/REPARSE_POINT.md	CONFIRMED	E2/RD	FS_REPS_RA_003, FS_REPS_RA_002, MD_ATTR_RA_010, MD_ATTR_RA_012	2026-06-22	
attributes/SNAPSHOT.md	CONFIRMED	E2/RD	MD_SNAP_RA_005, FS_SNAP_RA_001, MD_SNAP_RA_002, MD_SNAP_RA_003, CT_DRNT_RA_001, GN_SNAP_SA_001	2026-06-22	
attributes/STANDARD_INFORMATION.md	CORRECTED	E1/E2/RD	MD_SI_RA_012, MD_SI_SA_001, MD_SI_SA_002, FN_LINK_002, FN_LINK_003, MD_INTG_RA_001	2026-06-22	
attributes/VOLUME_INFORMATION.md	CONFIRMED	E2/RD	FS_VOLI_RA_001	2026-06-22	
changelog.md	—	—	—	2026-07-06	
concepts/README.md	Reference	E2/RD	FN_LINK_003 / E59	2026-06-22	
concepts/allocation_space_mgmt.md	CONFIRMED	E2/RD	GN_ARCH_RA_001, FS_CHKP_021, CT_ALLC_001, CT_ALLC_002, CT_ALLC_003, CT_ALLC_RA_001, CT_ALLC_004, FS_DEL_RA_002, GN_ALLC_SA_001, FS_CHKP_RA_015	2026-06-22	
concepts/architecture.md	CORRECTED	E1/E2/RD	GN_ARCH_001, GN_ARCH_002	2026-06-22	
concepts/artifact_timeline.md	CONFIRMED	E2/RD	FS_SUPB_005, FS_CHKP_005, FS_CHKP_006, AP_REDO_001–039, FN_LINK_003	2026-06-22	
concepts/attributes.md	CONFIRMED	E1/E2/RD	FS_SNAP_RA_001, FS_SCHM_RA_005, FS_SCHM_RA_006, FS_SCHM_RA_007, MD_ATTR_005, MD_ATTR_008, MD_ATTR_010, MD_ATTR_RA_003, MD_DDIR_005	2026-06-22	
concepts/bootstrap_chain.md	CORRECTED	E2/RD	FS_SUPB_001, FS_SUPB_007, FS_CHKP_005, FS_SUPB_005, FS_SUPB_RA_003	2026-06-22	
concepts/carrier_categories.md	CONFIRMED	E2/RD	FS_DEL_RA_002, AP_LGFL_005, MD_SI_RA_010, MD_SI_RA_008, FN_LINK_002, MD_SI_RA_009, FS_CHKP_RA_014, FS_DEL_RA_005, AP_REDO_001–039	2026-06-22	
concepts/checksum_architecture.md	CORRECTED	E2/RD	GN_PREF_002, FS_SUPB_001, FS_SUPB_007, FS_CHKP_005, FS_SUPB_005, FS_SUPB_RA_003	2026-06-22	
concepts/cluster_page_size.md	CONFIRMED	E2/RD	FS_VBR_008, FS_VBR_011, CT_CTBL_002, CT_CTBL_003, CT_CTBL_RA_003, CT_CTBL_RA_006, CT_CTBL_RA_007	2026-06-22	
concepts/compression.md	data-gated	E2/RD	AP_REDO_037, AP_REDO_026, GN_COMP_SA_001, CT_COMP_RA_001, CT_COMP_RA_002	2026-06-22	
concepts/copy_on_write.md	CONFIRMED	E2/RD	GN_ARCH_002, AP_LGFL_005, FS_CHKP_RA_014, AP_REDO_001–039	2026-06-22	
concepts/deduplication.md	CONFIRMED	E2/RD	FS_CHKP_015, CT_BKRC_001, FS_CHKP_RA_001	2026-06-22	
concepts/deletion_recovery.md	CONFIRMED	E2/RD	FS_DEL_RA_001, FS_OTBL_RA_003, FS_CHKP_RA_014, FS_DEL_RA_005	2026-06-22	
concepts/driver_architecture.md	CORRECTED	E2/RD	FS_CHKP_005, FS_VBR_012, GN_ALLC_SA_001, GN_ARCH_SA_001, GN_BIN_SA_001, GN_COMP_SA_001, GN_CROT_SA_001, GN_DEDUP_SA_001, GN_EFS_SA_001, GN_HEAT_SA_001, GN_IRP_SA_001, GN_KSR_SA_001, GN_PREF_002, GN_SNAP_SA_001, GN_WSL_SA_001	2026-06-22	
concepts/file_systems.md	CONFIRMED	—	—	2026-06-22	
concepts/forensic_analysis_workflow.md	CONFIRMED	E2/RD	FS_CHKP_RA_014, FS_SUPB_001, FS_SUPB_007, FS_CHKP_005, FS_SUPB_005, FS_SUPB_RA_003, FS_DEL_RA_005, FS_CHKP_RA_012, FS_CHKP_RA_001, FS_CHKP_RA_013, FN_LINK_003	2026-07-03	
concepts/hard_links.md	CONFIRMED	E2/RD	MD_DATA_RA_004, MD_DATA_RA_006, FN_LINK_002, FN_LINK_003, FS_OTBL_RA_008, MD_SI_RA_009, MD_SI_RA_001	2026-06-22	
concepts/integrity_streams.md	CORRECTED	E2/RD	MD_INTG_RA_001, CT_INTS_001, MD_DATA_RA_010, GN_PREF_002, CT_INTS_002	2026-06-22	
concepts/ntfs_comparison.md	CONFIRMED	E2/RD	AP_REDO_001, AP_REDO_037, FN_LINK_003, FS_OTBL_005, FS_OTBL_RA_005, FS_SECD_RA_002, MD_ATTR_005, MD_SECT_001, MD_USN_RA_002, MD_USN_RA_004	2026-06-22	
concepts/object_ids_fileids.md	CONFIRMED	E2/RD	FS_OTBL_RA_006, FS_OTBL_SA_001, FS_OTBL_SA_004, FS_OTBL_SA_009, FS_OTBL_SA_005, MD_SI_RA_010, MD_SI_RA_008, FN_LINK_002	2026-06-22	
concepts/oid_allocation.md	CONFIRMED	E2/RD	FS_OTBL_RA_006, FS_OTBL_SA_004, FS_OTBL_SA_009, FS_OTBL_RA_007	2026-06-22	
concepts/redundancy.md	CORRECTED	E2/RD	FS_CHKP_RA_014, FS_VBR_RA_013, FS_SUPB_001, FS_SUPB_007, FS_CHKP_005, FS_SUPB_005, FS_SUPB_RA_003	2026-06-22	
concepts/resident_storage.md	CORRECTED	E2/RD	FN_DTBL_005, MD_ATTR_005, MD_DATA_RA_010, MD_SNAP_RA_005, MD_SNAP_RA_007	2026-06-22	
concepts/snapshots_versioning.md	CONFIRMED	E2/RD	MD_SNAP_RA_002, MD_SNAP_RA_003, CT_DRNT_RA_001, GN_SNAP_SA_001, MD_SNAP_RA_006, MD_SNAP_RA_005, FS_SNAP_RA_001, MD_SNAP_RA_007, MD_ATTR_RA_018, FS_OTBL_RA_008, FS_CHKP_015, CT_BKRC_001, FS_SCHM_RA_008, FS_SCHM_RA_005	2026-06-22	
concepts/tiering.md	CONFIRMED	E2 (driver symbols), E2+RD (schema `0xe130`, heat flag)	GN_HEAT_SA_001, FS_SCHM_RA_004, FS_VOLI_RA_002	2026-06-22	
concepts/timestomp_detection.md	CONFIRMED	E2/RD	FN_LINK_002, FN_LINK_003 / E59, MD_DDIR_001, MD_FTBL_001, MD_SF_RA_002, MD_SI_RA_008, MD_SI_RA_010, MD_SI_RA_013, MD_SI_RA_015, MD_SI_SA_001, MD_SI_SA_002	2026-07-03	
concepts/tool_artifact_map.md	CONFIRMED	E2/RD	FS_CHKP_RA_001, FS_CHKP_RA_009, MD_SNAP_RA_005, MD_SNAP_RA_006, MD_SNAP_RA_007, MD_SI_RA_002, MD_SI_RA_003, MD_DATA_RA_005, MD_DISK_RA_003, MD_SI_RA_015, MD_DATA_RA_001, MD_SNAP_RA_003, CT_DRNT_RA_001, FS_SNAP_RA_001, MD_USN_RA_004, FS_SCHM_RA_007, AP_LGFL_001, FS_OTBL_RA_003, FS_SCHM_RA_001, GN_ARCH_002, MD_SNAP_RA_002, GN_SNAP_SA_001, FS_VBR_RA_013, FS_DEL_RA_005, MD_TS_RA_005, MD_UNSUP_RA_001, FN_LINK_002, FS_SECD_RA_002, FS_SECD_RA_001, MD_SECT_001, FS_OTBL_RA_001	2026-06-22	
concepts/transactions_crash_consistency.md	CONFIRMED	E2/RD	AP_LGFL_RA_004, AP_LGFL_002, AP_LGFL_001, AP_LGFL_RA_007, AP_LGFL_RA_008, AP_REDO_001–039, AP_LGFL_RA_009, AP_LGFL_005, FS_DEL_RA_001	2026-06-22	
concepts/version_detection.md	CONFIRMED	E2/RD	FS_CHKP_RA_013, FS_CHKP_RA_001, FS_CHKP_RA_007	2026-06-22	
