ref_id,proof_class,category,structure,description,verification_target,refs_version,static_evidence_level,static_notes,raw_notes
CT_CTBL_002,PURE-RD-LAYOUT,Content,Container Table,Translation: Container_ID = LCN >> CPC_BitCount,No,3.4,N/A,Raw disk analysis: formula verified on all 39 images; shift=15 for 4K / 11 for 64K (corrected per E18 — prior 14/10 omitted the +1),Formula verified: Container_ID = VLCN >> shift; shift=15 for 4K / 11 for 64K (corrected per E18 — prior 14/10 omitted the +1). Tested on all 39 images
CT_CTBL_003,PURE-RD-LAYOUT,Content,Container Table,Translation: CN = LCN & (CPC - 1),No,3.4,N/A,Raw disk analysis: mask formula verified on all images,Offset within container: VLCN & (CPC-1). CPC=16384(4K) or 1024(64K)
CT_CTBL_004,PURE-RD-LAYOUT,Content,Container Table,Translation: PCN = CSC + CN,No,3.4,N/A,Raw disk analysis: CSC from container_map[id] + offset gives correct PLCN on all images,PLCN = container_map[container_id] + offset. Verified by successful page reads on all images
CT_CTBL_007,PURE-RD-LAYOUT,Content,Container Table,"0xD0-0xD8: physical start LCN (64K clusters, Prade)",Yes,3.4,N/A,"Raw disk analysis: confirmed for 224-byte rows (64K clusters AND SHA256 4K both use 224-byte rows, CT_CTBL_RA_003)",For 224-byte rows (64K or SHA256): row[-16]=offset 0xD0 is correct
CT_CTBL_009,PURE-RD-LAYOUT,Content,Container Table,0x10-0x17: Container ID (Lee),Yes,3.4,N/A,Needs raw disk verification,Key contains container ID but exact offset within row value not yet verified
CT_CTBL_010,PURE-RD-LAYOUT,Content,Container Table,0xA0-0xA7: CSC starting position (Lee),Yes,3.4,N/A,Needs raw disk verification,"PT: Field exists at 0xA0 in 224B CT rows (SHA-256 image). Value=0 on test images. Not present in 160B (CRC64-only) format. | RE-VERIFIED 2026-06-18 (all-disk): value+0xA0 is OUT OF BOUNDS for 160B (4K) rows (last offset 0x9F). For 224B rows, value[0xA0:0xA8]=zeros. The actual CSC (Container Start Cluster) is at value[len-16]=0x90(160B)/0xD0(224B), NOT 0xA0. The CT-root-PAGE header+0xA0 holds a sma"
CT_CTBL_RA_004,STRUCTURAL,Content,Container Table,"Container Allocator (root #2, Table ID 0x20) uses VIRTUAL addressing on ALL versions — contradicts Prade suggestion of real addressing for 3.4",No,both,E2,CmsVolumeContainer::PinContainerRange performs VLCN→PLCN translation for Container Allocator,Tested on all images: root #2 VLCNs resolve through Container Table and differ from PLCNs. Only roots 7+8+12 use real addressing
CT_CTBL_RA_006,STRUCTURAL,Content,Container Table,"Deep container row structure: 160-byte (4K/CRC64) with 13 decoded fields. 224-byte (64K or SHA256) with 128-byte extended area. Universal parsing: CPC at +0x18, CSC at value[len-16:len-8]. Container flags bitmask decoded. Extended area (0x50+) = per-container integrity checksum buffer managed by CmsIntegrityState. Size = num_slots x 16: 4 slots (64B) for CRC64, 8 slots (128B) for SHA256. E2: GetNumAllocatedForContainerEntry + PersistContainerCacheWorker confirm via field_18c. E1: zero on 80+ images except 1 container on win10refs2tspecials. Ref: report_container_and_allocator_tables.md §1.3.1",No,all,E2 (win10),report_container_and_allocator_tables.md,Extended area decoded as integrity checksum buffer (2026-05-23)
CT_INTS_001,STRUCTURAL,Content,Integrity State Table,"Row format decoded: Key=16B [u64 start_lcn, u64 block_count], Value=24B [u64 start_lcn(dup), u64 block_count(dup), u32 state_field, u32 config_field]. Rows cover contiguous LCN ranges spanning entire volume. Most images: 1 row with default [0x0002ffff, 0x00000100]. Large Win10: 3 rows — 1 container has modified state [0x00013f6c, 0x00000118]. Linked to Container Table extended area (per-container checksum buffer). CmsIntegrityState class win10=17, win11=12, insider=13 (contraction, not growth)",No,3.4,E2 (win10),"CmsIntegrityState class win10=17, win11=12, insider=13 (contraction, not growth). UpdateIntegrityState called during allocator operations. GetIntegrityStateTable returns IST BPlusTable. Row format confirmed via 89-image scan","IST (root #11) present on ALL 89 images. Row format invariant: Key=16B, Value=24B. 87/89: single row covering entire volume. 2/89: 3 rows with 1 container having modified integrity state"
FS_CHKP_002,PURE-RD-LAYOUT,File System,Checkpoint,0x54-0x56: major ReFS version,No,3.4,N/A,Raw disk analysis: always 3 across all images (filesystem_category.md Section 3.1),Major version matches VBR: 3 in all images
