doc,line,issue,severity,statement,correct,doc_touched_this_pass
attributes/EXTEND.md,3,UNSUPPORTED,high,**Attribute Name:** $EXTEND,"$EXTEND is not a ReFS attribute. It does not appear in the authoritative attribute schema table (structure_reference.md F.2, type codes 0x110-0x200) nor in proof_index.csv. The only on-disk/binary bas",False
attributes/EXTEND.md,7,CONTRADICTED,high,"Extension metadata directory. Similar to NTFS $Extend directory that contains special system files (quota, object ID, USN journal, etc.).","The ReFS NTFS-$Extend equivalent is an OID/object, not an attribute: OID 0x520 'FS Metadata' directory (schema 0x200, child of root 0x600). Per errata E18/E19, structure_reference.md line 1308, and fi",False
attributes/INDEX_ALLOCATION.md,7,CONTRADICTED,high,**Attribute Name:** $INDEX_ALLOCATION ... Type code 0xA0 confirmed via code analysis.,"Master attribute table assigns type code 0xA0 to $INDEX_ROOT (Extended attributes index), NOT $INDEX_ALLOCATION. Source: structure_reference.md line 1261 (CONFIRMED: '0x1A0 | 0xA0 | $INDEX_ROOT | Exte",False
concepts/architecture.md,75,CONTRADICTED,high,RefsCommonCleanup alone is approximately 65 KB of compiled code.,RefsCommonCleanup is ~10.5-11.2 KB (win10 10642 / win11 10563 / insider 11243 bytes); the largest function in the driver is RefsCommonWrite at ~15 KB (function_catalog.csv),True
concepts/bootstrap_chain.md,41,CONTRADICTED,high,The superblock has a CRC32-C self-descriptor but this is not verified by the driver during normal mount.,"SUPB carries an 8-byte CRC64 self-checksum that IS verified at mount (ValidateSuperBlock/ChooseSuperBlock @201323/203858) with mount-time self-heal — the old 'CRC32-C, not validated' wording is explic",True
concepts/checksum_architecture.md,150,CONTRADICTED,high,"It [SUPB] has a CRC32-C self-descriptor, but this is not validated during normal mount — the driver ... trusts the content.","SUPB has an 8-byte CRC64 self-checksum that IS validated at mount (and self-healed on disagreement); the 'CRC32-C, not validated' note is explicitly superseded (finding #332; structure_reference.md A.",True
concepts/checksum_architecture.md,30,OUTDATED,high,SUPB | CRC32-C (self-descriptor) | Superblock structural integrity,"SUPB carries an 8-byte CRC64 self-checksum (LcnWithChecksum self-descriptor via +0x78), NOT CRC32-C (structure_reference A.3 / finding #332, supersedes the old CRC32-C note)",True
concepts/checksum_architecture.md,83,OUTDATED,high,Used exclusively for self-descriptors in the checkpoint (CHKP) and superblock (SUPB).,"CRC32-C is used for the CHKP self-descriptor only (cktype 0x01, structure_reference D.1a). The SUPB self-descriptor is an 8-byte CRC64, not CRC32-C (finding #332)",True
concepts/checksum_architecture.md,150,OUTDATED,high,"It has a CRC32-C self-descriptor, but this is not validated during normal mount — the driver ... trusts the content.","SUPB has an 8-byte CRC64 self-checksum and it IS verified at mount (ValidateSuperBlock -> ComputeOrVerifySelfChecksumBlock); supersedes 'CRC32-C, not validated' (structure_reference A.3 / finding #332",True
concepts/checksum_architecture.md,35,CONTRADICTED,high,Because it has no parent ... [CHKP] uses a CRC32-C self-descriptor instead of the CRC64 used for all child pages.,"The checkpoint self-checksum is an 8-byte CRC64 (LcnWithChecksum self-descriptor), NOT CRC32-C; verified at mount. finding #332; structure_reference.md lines 143-156",True
concepts/checksum_architecture.md,83,CONTRADICTED,high,[CRC32-C] Used exclusively for self-descriptors in the checkpoint (CHKP) and superblock (SUPB).,"CHKP and SUPB self-descriptors use an 8-byte CRC64, not CRC32-C (which explicitly supersedes the old CRC32-C note). finding #332; structure_reference.md line 143",True
concepts/checksum_architecture.md,150,CONTRADICTED,high,"[SUPB] has a CRC32-C self-descriptor, but this is not validated during normal mount — the driver ... trusts the content.",SUPB self-checksum is an 8-byte CRC64 and IS validated at mount; a corrupt copy is dropped/self-healed via highest-clock selection. finding #332; structure_reference.md lines 133-144,True
concepts/checksum_architecture.md,32,OUTDATED,high,CHKP | CRC32-C (self-descriptor) | Checkpoint self-integrity; this is the Merkle root,"CHKP carries an 8-byte CRC64 self-checksum verified at mount, NOT CRC32-C. structure_reference L151 / finding #332.",True
concepts/checksum_architecture.md,15,OUTDATED,high,CHKP └─ CRC32-C self-descriptor (verified on mount),"CHKP self-checksum is an 8-byte CRC64 verified at mount, NOT CRC32-C (the digest is 8 bytes = CRC64). finding #332; structure_reference.md A.4 lines 151-156",True
concepts/checksum_architecture.md,83,CONTRADICTED,high,CRC32-C ... Used exclusively for self-descriptors in the checkpoint (CHKP) and superblock (SUPB).,"CHKP/SUPB self-descriptors use CRC64 (#332). CRC32-C (CmsCrc32) is used for per-file integrity-stream data blocks (CHECKSUM_TYPE_CRC32), not SUPB/CHKP. structure_reference.md lines 1123, 1405",True
concepts/checksum_architecture.md,15,OUTDATED,high,CHKP -> CRC32-C self-descriptor (verified on mount),"CHKP self-descriptor is an 8-byte CRC64 self-checksum (verified at mount), not CRC32-C. structure_reference.md L151 ('8-byte CRC64 self-checksum verified at mount'); finding #332; redundancy.md L11",True
README.md,122,OUTDATED,low,"[Principal Findings] 236 claims: 2 corrections, 37 enrichments, 112 new","Reflects the original thesis baseline. The current findings_register (339 findings) tallies 37 CORRECTED, 49 ENRICHED, 158 NEW; with 41 errata applied the '2 corrections' figure is substantially stale",False
attributes,36,CONTRADICTED,medium,"## $EA (Schema 0x1E0, type 0xE0) ... **Versions:** v3.7+ (Win11 21H2 onward)","The $EA body (schema 0x1E0 / type 0xE0) is v3.14-Insider ONLY, not v3.7+. structure_reference.md F.2 line 1265 ('0x1E0 | 0xE0 | $EA | ... | v3.4-Insider' shown as v3.14-Insider) and the F.3 version-ga",False
attributes/ATTRIBUTE_LIST.md,9,UNSUPPORTED,medium,**Evidence Level:** E2,"The $ATTRIBUTE_LIST (type 0x20) code is NTFS-convention only and has NOT been confirmed in decompiled code; its sole evidence is a bare binary string = E1, not decompiled/E2. Source: refs_essentials.m",False
attributes/ATTRIBUTE_LIST.md,7,UNSUPPORTED,medium,Lists all attributes associated with a file when they span multiple records.,"This is the NTFS meaning of $ATTRIBUTE_LIST asserted as a ReFS fact, but it is unconfirmed for ReFS. refs_essentials.md evidence note: type 0x20/$ATTRIBUTE_LIST 'follow[s] the NTFS numbering conventio",False
attributes/BITMAP.md,18,CONTRADICTED,medium,used_count (u16) | = popcount for **Medium** rows (header_size 0x218) only; differs on Small/Container,"used_count = popcount(bitmap) holds universally on ALL tested rows (100% match), with no tier restriction. Source: the doc's OWN cited report report_container_and_allocator_tables.md lines 219/226 ('u",False
attributes/CBW4.md,36,CONTRADICTED,medium,There is **no leading padding**. The value is a 12-byte ReFS wrapper followed by the standard Windows `$EFS` metadata stream,"The $EFS value DOES begin with a 4-byte field at value+0x00 (padding/data-area, =0); data-area-size sits at value+0x04, content-offset (0x0C) at value+0x08, and the metadata-length repeat at value+0x0",False
attributes/CBW4.md,42,INCONSISTENT,medium,"Wrapper (12 bytes): 0x00 Data area size (u32) 664; 0x04 Content offset 0x0C; 0x08 Content size 664; 0x0C Reserved 0 (""There is no leading padding"")","Contradicts sibling EFS.md (same attribute), which gives 0x00 Padding(0), 0x04 Data-area-size(0x298), 0x08 Content-offset(0x0C), content at 0x0C — matching the common 12-byte sub-record header in conc",False
attributes/DATA.md,95,OUTDATED,medium,[$STANDARD_INFORMATION](STANDARD_INFORMATION.md) -- DataSize at $SI+0x38 mirrors file_size,"Finding #325(a) strengthened this: $SI+0x38 DataSize == $DATA sub-record allocated_size (val+0x18) in 36/36 resident files, including 4 discriminating cases (desktop.ini=129) where DataSize=129 = allo",True
attributes/DATA.md,37,OUTDATED,medium,Allocated size (u64) | File size rounded up to 8-byte alignment,"allocated_size is NOT always 8-byte-aligned: the discriminating case desktop.ini has allocated=129 (raw file size), not align8(129)=136. Read it from val+0x18, do not compute align8(file_size). Source",True
attributes/DATA.md,48,OUTDATED,medium,`allocated_size = (file_size + 7) & ~7` (8-byte aligned),"This align8(file_size) formula is REFUTED. allocated_size (val+0x18) equals the raw stored value, which is NOT always 8-aligned (desktop.ini=129, not 136). 36/36 resident files confirm allocated = sto",True
attributes/DATA.md,44,INCONSISTENT,low,Minimum value size: 60 bytes (0x3C) for an empty file. Maximum observed: 320 bytes (280-byte file content).,"Violates the doc's own formula value_length = 0x3C + allocated_size (line 49): a 280-byte file gives 60+280 = 340 bytes, not 320; conversely a 320-byte value implies 260 bytes of content. Source: DATA",True
attributes/EA_INFORMATION.md,36,CONTRADICTED,medium,"## $EA (Schema 0x1E0, type 0xE0) ... **Versions:** v3.7+ (Win11 21H2 onward)","$EA (schema 0x1E0 / type 0xE0) is v3.14-Insider, NOT v3.7+. structure_reference.md F.2 line 1265 ('0x1E0 | 0xE0 | $EA | v3.14-Insider | CONFIRMED') and the F.3 gating matrix line 1281 (Y only for v3.1",False
attributes/EA_INFORMATION.md,42,CONTRADICTED,low,"The v3.14 driver added the EA handling in `Ea.c`. EA functions are absent from the v3.4 (Win10 1803) driver, confirming EA support is a later addition (docs dat",For the $EA body specifically the parenthetical 'docs date it v3.7+' is wrong: the $EA body (0xE0) is v3.14+ (finding #172; structure_reference.md line 1265). v3.7 dates only the $EA_INFORMATION index,False
attributes/EA_INFORMATION.md,36,CONTRADICTED,medium,"## $EA (Schema 0x1E0, type 0xE0) **Versions:** v3.7+ (Win11 21H2 onward)","$EA body (type 0xE0, schema 0x1E0) is v3.14+, NOT v3.7+. structure_reference.md F.2 line 1265 and F.3 line 1281 list 0x1E0 present only on v3.14/Insider; finding #172 states 'Attribute schema 0x1E0 (e",False
attributes/EA_INFORMATION.md,36,CONTRADICTED,medium,"## $EA (Schema 0x1E0, type 0xE0) — **Versions:** v3.7+ (Win11 21H2 onward)","$EA (schema 0x1E0 / type 0xE0) is v3.14+ only, not v3.7+. structure_reference F.2 (line 1265: '0x1E0 | 0xE0 | $EA | v3.14-Insider') and F.3 matrix (line 1281: 0x1E0 present only v3.14/Insider). The do",False
attributes/EXTEND.md,9,UNSUPPORTED,medium,**Evidence Level:** E2,"No decompiled (E2) evidence establishes $EXTEND as an attribute. The only artifact is the string literal $EXTEND$REPARSE (E1 string, string_catalog.csv). There is no F.2 type code, no finding, and no ",False
attributes/EXTEND.md,5,UNSUPPORTED,low,**Versions:** v3.4+ (all versions),"Version coverage cannot be asserted for a non-existent attribute. The $EXTEND$REPARSE string is present in both refs_win10 (v3.4) and refs_win11 (v3.14) binaries, but that is a path/reparse string fra",False
attributes/I30.md,9,CONTRADICTED,medium,"in ReFS, it names the [$INDEX_ROOT](INDEX_ROOT.md) sub-record (type 0x90) that configures the directory B+-tree.","The type-0x90 sub-record that configures the directory B+-tree is $I30_INDEX, not $INDEX_ROOT. structure_reference.md line 544 + finding #278/#303 name type 0x90 = $I30_INDEX; $INDEX_ROOT = type 0xA0/",True
attributes/INDEX_ALLOCATION.md,7,INCONSISTENT,low,Non-resident index allocation for B+-tree nodes. Type code 0xA0 confirmed via code analysis. RefsCheckValidAttributeAccess uses 0xa0 as the index allocation typ,"The master schema table names type 0xA0 / schema 0x1A0 = $INDEX_ROOT (Extended Attributes index), not $INDEX_ALLOCATION (structure_reference.md line 1261; findings_register #169). The sibling concepts",False
attributes/INDEX_ALLOCATION.md,7,INCONSISTENT,low,Type code 0xA0 confirmed via code analysis. RefsCheckValidAttributeAccess uses 0xa0 as the index allocation type with special $I30 name checking.,"Type code 0xA0 is correct, but ground truth names embedded type 0xA0 / schema 0x1A0 as '$INDEX_ROOT' (structure_reference F.2 line 1261; findings_register #169), not '$INDEX_ALLOCATION'. So this doc a",False
attributes/INDEX_ALLOCATION.md,7,UNSUPPORTED,medium,Non-resident index allocation for B+-tree nodes.,No reference/finding establishes type 0xA0 carrying non-resident B+-tree node allocation runs on disk. ReFS directory indexing moved to directory tables; the type-0xA0 index attribute 'appears unused',False
attributes/INDEX_ALLOCATION.md,7,CONTRADICTED,medium,RefsCheckValidAttributeAccess uses 0xa0 as the index allocation type with special $I30 name checking.,"RefsCheckValidAttributeAccess associates the index/$I30 name with the $INDEX_ROOT attribute, not '$INDEX_ALLOCATION'. reference_table.csv MD_ATTR_RA_015 (CONFIRMED): 'RefsCheckValidAttributeAccess con",False
attributes/INDEX_ALLOCATION.md,3,CONTRADICTED,medium,**Attribute Name:** $INDEX_ALLOCATION,"Type code 0xA0 is named $INDEX_ROOT in the master reference (structure_reference.md F.2 line 1261: '0xA0 | $INDEX_ROOT | Extended attributes index'), the attributes concept doc (line 86: '0xA0 | $INDE",False
attributes/INDEX_ALLOCATION.md,7,INCONSISTENT,low,**Description:** Non-resident index allocation for B+-tree nodes. Type code 0xA0 confirmed via code analysis.,"Per attributes concept doc line 86 and finding #303, type 0xA0 is the directory index attribute 'handled at OID/create time by RefsCheckValidAttributeAccess; never stored as a file sub-record' — it is",False
attributes/INDEX_ROOT.md,3,CONTRADICTED,medium,# $INDEX_ROOT ($I30_INDEX) ... **Schema:** 0x190 (embedded type 0x90),"The type-0x90 directory-index config sub-record is $I30_INDEX, NOT $INDEX_ROOT. Per structure_reference.md F.2: schema 0x190/type 0x90 = $STANDARD_INFORMATION (CONFIRMED, line 1260); $INDEX_ROOT = sch",True
